optimizer,iteration,total,penalized_total,mechanical,volumetric,max_contact_pressure,avg_contact_pressure,contact_pressure_penalty,dK,dZ,clearance,LKG,lF,zeta,pattern_type,contact_pressure_valid
BO,12,185.00332067000002,255.35220385936702,178.177071,6.82624967,19.012870399999997,0.012791706781009712,0.38025740799999996,19.24136,19.257,0.01564000000000121,50.2,36.384521,5.0,new,True
BO,19,174.35171532,280.48697707191803,167.37673,6.97498532,30.4371143,0.08246253922429264,0.608742286,19.189021,19.204,0.014979000000000298,46.7,36.50229,5.0,new,True
BO,5,221.3520416,362.609405708117,204.196722,17.1553196,31.907852100000003,0.07739837169750785,0.638157042,19.978094,19.996,0.017905999999999977,52.8,36.248719,5.0,new,True
BO,9,232.933994,374.7890996547877,232.933994,0.0,30.4496358,0.051586985749746864,0.6089927159999999,19.430729,19.442,0.011271000000000697,48.8,32.126084,5.0,new,True
BO,1,219.42242290000002,425.3154277204068,195.790109,23.6323139,46.917038399999996,0.36973861138153175,0.9383407679999999,19.351768,19.37,0.018232000000001136,46.7,30.786084,5.0,new,True
BO,1,245.877664,450.21672839729695,245.877664,0.0,41.5529945,0.19611527259648373,0.8310598899999999,19.410912,19.422,0.011088000000000875,46.7,30.376128,5.0,new,True
BO,2,242.0352235,492.1535356797002,205.382545,36.6526785,51.669816600000004,0.4430628391762235,1.0333963320000001,19.295489,19.315,0.01951100000000139,46.7,30.345175,5.0,new,True
BO,11,248.7946987,522.7608601922352,231.115879,17.6788197,55.0586815,0.5895727561338997,1.10117363,19.727803,19.744,0.01619699999999824,50.7,29.533596,5.0,new,True
BO,0,271.6782311,541.0861053618388,219.638897,52.0393341,49.5821607,0.3940909609807134,0.9916432140000001,19.653224,19.675,0.02177599999999913,47.1,32.72262,5.0,new,True
BO,9,263.68456779999997,584.4060293482702,231.469587,32.2149808,60.8153644,0.7780160102103559,1.216307288,19.036735,19.055,0.01826499999999953,49.9,28.32104,5.0,new,True
NSGA-III,16,463.101103,997.7548043027837,340.749338,122.351765,57.7253755,0.5003651396468148,1.15450751,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,14,471.294628,1022.4073503586272,347.605835,123.688793,58.4679614,0.5385339505243915,1.169359228,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,2,470.95744,1022.568407219332,347.276836,123.680604,58.5627193,0.5393385044979129,1.171254386,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,5,471.022932,1022.7648349396952,347.364998,123.657934,58.5684757,0.5391906207363641,1.171369514,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,12,470.81491,1022.9091280726263,347.141211,123.673699,58.6317687,0.5394241678108305,1.172635374,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,1,471.01173900000003,1022.9369436379114,347.361776,123.649963,58.5893258,0.5391434201394987,1.171786516,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,11,471.01173900000003,1022.9369436379114,347.361776,123.649963,58.5893258,0.5391434201394987,1.171786516,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,13,471.01173900000003,1022.9369436379114,347.361776,123.649963,58.5893258,0.5391434201394987,1.171786516,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,15,471.01173900000003,1022.9369436379114,347.361776,123.649963,58.5893258,0.5391434201394987,1.171786516,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,6,471.01173900000003,1022.9369436379114,347.361776,123.649963,58.5893258,0.5391434201394987,1.171786516,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
BO_no_penalty,19,174.35171532,280.48697707191803,167.37673,6.97498532,30.4371143,0.08246253922429264,0.608742286,19.189021,19.204,0.014979000000000298,46.7,36.50229,5.0,new,True
BO_no_penalty,12,185.00332067000002,255.35220385936702,178.177071,6.82624967,19.012870399999997,0.012791706781009712,0.38025740799999996,19.24136,19.257,0.01564000000000121,50.2,36.384521,5.0,new,True
BO_no_penalty,1,219.42242290000002,425.3154277204068,195.790109,23.6323139,46.917038399999996,0.36973861138153175,0.9383407679999999,19.351768,19.37,0.018232000000001136,46.7,30.786084,5.0,new,True
BO_no_penalty,5,221.3520416,362.609405708117,204.196722,17.1553196,31.907852100000003,0.07739837169750785,0.638157042,19.978094,19.996,0.017905999999999977,52.8,36.248719,5.0,new,True
BO_no_penalty,9,232.933994,374.7890996547877,232.933994,0.0,30.4496358,0.051586985749746864,0.6089927159999999,19.430729,19.442,0.011271000000000697,48.8,32.126084,5.0,new,True
BO_no_penalty,2,242.0352235,492.1535356797002,205.382545,36.6526785,51.669816600000004,0.4430628391762235,1.0333963320000001,19.295489,19.315,0.01951100000000139,46.7,30.345175,5.0,new,True
BO_no_penalty,1,245.877664,450.21672839729695,245.877664,0.0,41.5529945,0.19611527259648373,0.8310598899999999,19.410912,19.422,0.011088000000000875,46.7,30.376128,5.0,new,True
BO_no_penalty,11,248.7946987,522.7608601922352,231.115879,17.6788197,55.0586815,0.5895727561338997,1.10117363,19.727803,19.744,0.01619699999999824,50.7,29.533596,5.0,new,True
BO_no_penalty,9,263.68456779999997,584.4060293482702,231.469587,32.2149808,60.8153644,0.7780160102103559,1.216307288,19.036735,19.055,0.01826499999999953,49.9,28.32104,5.0,new,True
