%time,revolution,shaft_angle,FAKz,FSKx,FSKy,FSKz,FKx,FKy,FK,FaK,FDK,FwK,FAKy
0.00428030303030303,0.3138888888888889,113.0,9194.761627954806,-1318.8386320760678,2292.5115533170847,9476.24665239368,-1318.8386320760678,3584.7510273993726,3819.656432965815,-81.79544983126993,9366.919264476208,831.4437070514841,1292.2394740822879
0.004318181818181818,0.31666666666666665,114.0,9196.754969620883,-1319.1245444360093,2293.0085492136714,9478.301017482689,-1319.1245444360093,3585.528169197557,3820.4845001442804,-85.04021449945041,9372.176960520243,830.4103704476962,1292.5196199838854
0.004356060606060606,0.3194444444444444,115.0,9198.60874370478,-1319.3904381019802,2293.4707470037324,9480.21154231929,-1319.3904381019802,3586.2508979447184,3821.254588635025,-88.25163009368698,9377.260368297622,829.385032723931,1292.7801509409862
0.004393939393939394,0.32222222222222224,116.0,9200.237429131077,-1319.6240464701589,2293.8768238883304,9481.890087717555,-1319.6240464701589,3586.8858716385957,3821.931171565344,-91.42891402065665,9382.082343675023,828.3680062079916,1293.0090477502654
0.004431818181818182,0.325,117.0,9201.756846225437,-1319.8419820777758,2294.2556571179534,9483.45601968367,-1319.8419820777758,3587.4782450149214,3822.5623626188667,-94.57129989980639,9386.759078830213,827.3596006960071,1293.2225878969678
0.00446969696969697,0.3277777777777778,118.0,9203.196503217803,-1320.0484773992748,2294.614603920639,9484.939749801591,-1320.0484773992748,3588.0395224129998,3823.160420003567,-97.6780375513638,9391.319621807634,826.360123358065,1293.4249184923603
0.004507575757575758,0.33055555555555555,119.0,9204.384534862402,-1320.2188811674662,2294.9108134779017,9486.164151406614,-1320.2188811674662,3588.5026989292464,3823.6539480467586,-100.74839297262471,9395.589684340634,825.3698786446446,1293.591885451345
0.004545454545454545,0.3333333333333333,120.0,9205.321652033808,-1320.3532953457168,2295.1444630306783,9487.129957135763,-1320.3532953457168,3588.8680517115067,3824.0432420575266,-103.78164830283501,9399.569266429211,824.3891681938784,1293.7235886808285
0.004583333333333333,0.33611111111111114,121.0,9206.094845720114,-1320.4641973728533,2295.3372418682957,9487.926821086996,-1320.4641973728533,3589.1694958351836,3824.3644395346687,-106.77710177699011,9403.345512206693,823.4182907396698,1293.8322539668882
0.0046212121212121215,0.3388888888888889,122.0,9206.647264272333,-1320.5434328068125,2295.474975282654,9488.49615117602,-1320.5434328068125,3589.3848666139766,3824.5939233605745,-109.73406766889015,9406.860325584197,822.457542020697,1293.9098913313223
0.004659090909090909,0.3416666666666667,123.0,9206.922040225461,-1320.582844936981,2295.5434846222765,9488.77933901833,-1320.582844936981,3589.4919931954073,3824.708069847395,-112.65187622379833,9410.055610472837,821.5072146903261,1293.948508573131
0.004696969696969697,0.34444444444444444,124.0,9206.89105572595,-1320.5784007157383,2295.5357593188946,9488.747405970837,-1320.5784007157383,3589.4799133046017,3824.695198372564,-115.5298735810582,9412.90231882817,820.5675982274686,1293.9441539857069
0.004734848484848485,0.3472222222222222,125.0,9206.583707968812,-1320.5343166913776,2295.459128916429,9488.43064918338,-1320.5343166913776,3589.360087991804,3824.567521018304,-118.36742168703762,9415.429498694639,819.6389788484008,1293.9009590753747
0.004772727272727273,0.35,126.0,9205.971847889536,-1320.4465553395748,2295.3065750648434,9487.800057846422,-1320.4465553395748,3589.121542813956,3824.3133441964947,-121.16389819877355,9417.608102027802,818.7216394195817,1293.8149677491124
0.00481060606060606,0.3527777777777778,127.0,9204.969780268357,-1320.3028250783416,2295.0567315461412,9486.767313298506,-1320.3028250783416,3588.7308678753448,3823.8970686919874,-123.91869637870236,9419.350984694333,817.8158593714876,1293.6741363292035
0.0048484848484848485,0.35555555555555557,128.0,9203.635621298996,-1320.1114617280648,2294.724088354835,9485.392310880963,-1320.1114617280648,3588.2107208688594,3823.3428369352423,-126.63122498086543,9420.716242783114,816.9219146134956,1293.486632514024
0.004886363636363637,0.35833333333333334,129.0,9201.912410551606,-1319.8642952438397,2294.2944436607104,9483.61634639846,-1319.8642952438397,3587.538894697928,3822.6269866192733,-129.3009081289904,9421.645780205265,816.040077449839,1293.2444510372175
0.004924242424242424,0.3611111111111111,130.0,9199.771937855465,-1319.5572793366528,2293.7607638782415,9481.410346064566,-1319.5572793366528,3586.7043910960856,3821.7377987714294,-131.92718518685115,9422.110548916338,815.1706164966602,1292.9436272178443
0.004962121212121212,0.3638888888888889,131.0,9197.214743434612,-1319.1904914928334,2293.1231837004084,9478.774866641537,-1319.1904914928334,3585.7074206798497,3820.6754978097324,-134.5095106213194,9422.110548916338,814.3137966001882,1292.5842369794414
0.005,0.36666666666666664,132.0,9194.241352699411,-1318.7640070739317,2292.3818341267283,9475.710449624457,-1318.7640070739317,3584.548188290348,3819.4403019983583,-137.04735385852373,9421.645780205265,813.469878756064,1292.1663541636199
0.005037878787878788,0.36944444444444446,133.0,9190.794745693654,-1318.269647496957,2291.5224984853976,9472.15832946931,-1318.269647496957,3583.2044636235373,3818.0085243020862,-139.54019913353696,9420.65814669423,812.6391200298377,1291.6819651381397
0.0050757575757575755,0.37222222222222223,134.0,9186.817887951156,-1317.6992320977006,2290.530956486869,9468.059725677906,-1317.6992320977006,3581.654010718385,3816.3564716580086,-141.98754533401947,9419.089552294352,811.8217734786652,1291.123054231516
0.005113636363636364,0.375,135.0,9182.311261357867,-1317.0528299948446,2289.4073282788045,9463.415134888472,-1317.0528299948446,3579.897017447208,3814.4843442495403,-144.388905838246,9416.939997005631,811.018088074224,1290.4896891684034
