%time,revolution,shaft_angle,FAKz,FSKx,FSKy,FSKz,FKx,FKy,FK,FaK,FDK,FwK,FAKy
0.0,0.0,0.0,229.6887,1.0,57.26783,0,-35.27157,995.0885,995.7134,230.5661,0.0,921.2311,20.09516
3.787879e-05,0.002777778,1.0,240.4725,0.9998477,59.95652,0,-36.71922,998.7227,999.3975,230.5302,10.66877,921.228,21.03862
7.575758e-05,0.005555556,2.0,271.1387,0.9993908,67.60247,0,-38.59107,1009.017,1009.754,230.4226,41.34931,921.2189,23.72156
0.0001136364,0.008333333,3.0,323.1333,0.9986295,80.56617,0,-41.26752,1026.438,1027.267,230.2432,93.49171,921.2036,28.2705
0.0001515152,0.01111111,4.0,396.3676,0.9975641,98.82554,0,-45.12162,1050.924,1051.893,229.9922,166.9981,921.1821,34.67767
0.0001893939,0.01388889,5.0,488.1353,0.9961947,121.7058,0,-50.43824,1081.523,1082.698,229.6696,259.1478,921.1546,42.7063
0.0002272727,0.01666667,6.0,603.81,0.9945219,150.5468,0,-57.74846,1119.979,1121.467,229.2756,375.3269,921.121,52.82653
0.0002651515,0.01944444,7.0,738.1127,0.9925462,184.0322,0,-67.23568,1164.453,1166.392,228.8103,510.2376,921.0813,64.57649
0.0003030303,0.02222222,8.0,886.3706,0.9902681,220.997,0,-78.98789,1213.308,1215.876,228.2738,659.1931,921.0355,77.54738
0.0003409091,0.025,9.0,1071.936,0.9876883,267.2636,0,-94.55365,1274.234,1277.738,227.6663,845.606,920.9837,93.78222
0.0003787879,0.02777778,10.0,1261.04,0.9848078,314.4126,0,-112.4873,1335.879,1340.607,226.988,1035.615,920.9258,110.3267
0.0004166667,0.03055556,11.0,1480.142,0.9816272,369.0409,0,-134.6334,1406.922,1413.349,226.2392,1255.747,920.8619,129.4956
0.0004545455,0.03333333,12.0,1719.119,0.9781476,428.6246,0,-160.7584,1483.866,1492.549,225.4202,1495.852,920.792,150.4034
0.0004924242,0.03611111,13.0,1979.027,0.9743701,493.4269,0,-191.2769,1566.917,1578.549,224.5311,1756.988,920.7161,173.1425
0.000530303,0.03888889,14.0,2254.471,0.9702957,562.1027,0,-226.0742,1654.153,1669.531,223.5723,2033.747,920.6342,197.2406
0.0005681818,0.04166667,15.0,2559.155,0.9659258,638.0691,0,-266.6463,1749.889,1770.088,222.5442,2339.864,920.5464,223.8971
0.0006060606,0.04444444,16.0,2878.543,0.9612617,717.7014,0,-312.0664,1849.198,1875.345,221.4471,2660.766,920.4526,251.8399
0.0006439394,0.04722222,17.0,3233.556,0.9563048,806.2162,0,-364.7061,1958.657,1992.322,220.2813,3017.424,920.353,282.8995
0.0006818182,0.05,18.0,3682.339,0.9510565,918.1102,0,-431.4466,2096.609,2140.541,219.0473,3468.104,920.2476,322.1629
0.000719697,0.05277778,19.0,4410.061,0.9455186,1099.552,0,-535.0118,2321.399,2382.253,217.7454,4198.372,920.1363,385.8303
0.0007575758,0.05555556,20.0,5455.098,0.9396926,1360.109,0,-684.8523,2643.401,2730.676,216.3762,5246.658,920.0192,477.2592
0.0007954545,0.05833333,21.0,6850.54,0.9335804,1708.031,0,-890.7711,3070.852,3197.437,214.9401,6646.076,919.8964,599.3446
0.0008333333,0.06111111,22.0,8442.271,0.9271839,2104.895,0,-1138.746,3553.06,3731.083,213.4376,8242.121,919.7678,738.603
0.0008712121,0.06388889,23.0,10056.28,0.9205049,2507.312,0,-1408.282,4034.356,4273.089,211.8692,9860.301,919.6336,879.8103
0.0009090909,0.06666667,24.0,11073.23,0.9135455,2760.866,0,-1609.78,4323.57,4613.529,210.2354,10880.12,919.4938,968.782
0.0009469697,0.06944444,25.0,11193.3,0.9063078,2790.804,0,-1687.112,4333.096,4649.953,208.5368,11001.37,919.3483,979.2871
0.0009848485,0.07222222,26.0,11209.32,0.898794,2794.798,0,-1749.021,4309.479,4650.88,206.7739,11018.39,919.1973,980.6888
0.001022727,0.075,27.0,11218.05,0.8910065,2796.974,0,-1809.421,4282.551,4649.112,204.9475,11028.24,919.0409,981.4522
0.001060606,0.07777778,28.0,11240.13,0.8829476,2802.48,0,-1871.614,4258.517,4651.656,203.058,11051.5,918.8789,983.3843
0.001098485,0.08055556,29.0,11271.76,0.8746197,2810.365,0,-1935.133,4236.148,4657.219,201.1061,11084.41,918.7116,986.1512
0.001136364,0.08333333,30.0,11292.36,0.8660254,2815.501,0,-1996.47,4209.364,4658.824,199.0925,11106.35,918.5389,987.9532
0.001174242,0.08611111,31.0,11315.41,0.8571673,2821.247,0,-2057.884,4182.158,4661.044,197.0179,11130.83,918.3609,989.9697
0.001212121,0.08888889,32.0,11342.06,0.8480481,2827.894,0,-2119.608,4154.843,4664.274,194.883,11158.98,918.1776,992.3019
0.00125,0.09166667,33.0,11368.79,0.8386706,2834.558,0,-2180.995,4126.389,4667.314,192.6885,11187.19,917.9892,994.6403
0.001287879,0.09444444,34.0,11392.93,0.8290376,2840.577,0,-2241.501,4096.057,4669.262,190.4351,11212.78,917.7956,996.7523
0.001325758,0.09722222,35.0,11410.2,0.819152,2844.883,0,-2300.206,4062.697,4668.667,188.1236,11231.43,917.5969,998.2635
0.001363636,0.1,36.0,11416.35,0.809017,2846.416,0,-2356.11,4025.224,4664.084,185.7548,11239.04,917.3933,998.8012
0.001401515,0.1027778,37.0,11411.88,0.7986355,2845.302,0,-2409.144,3983.901,4655.689,183.3294,11236.13,917.1846,998.4105
0.001439394,0.1055556,38.0,11395.83,0.7880108,2841.3,0,-2458.933,3938.594,4643.153,180.8484,11221.67,916.9711,997.0061
