theta,revolution,displacement,velocity,acceleration
0.0,0.0,-0.0,0.0,-544912.792113544
1.0027855153203342,0.002785515320334262,-0.0019025506853915348,45.53356321862774,-544804.5080146556
2.0055710306406684,0.005571030640668524,-0.00760944661385544,91.05317901840124,-544479.724958799
3.0083565459610027,0.008356545961002786,-0.0171184198857281,136.54490393797064,-543938.6505850112
4.011142061281337,0.011142061281337047,-0.03042569227923502,181.9948024312362,-543181.6306805528
5.013927576601671,0.013927576601671309,-0.04752597766493593,227.38895082557178,-542209.1487647835
6.016713091922005,0.016713091922005572,-0.06841248538190645,272.7134412807487,-541021.8255077371
7.0194986072423395,0.019498607242339833,-0.09307692457154348,317.9543857487671,-539620.4179845441
8.022284122562674,0.022284122562674095,-0.12150950946384292,363.0979199347769,-538005.8187671677
9.025069637883007,0.025069637883008353,-0.15369896560977053,408.13020725924144,-536179.0548552424
10.027855153203342,0.027855153203342618,-0.18963253705227476,453.0374428214629,-534141.286448109
11.030640668523677,0.030640668523676882,-0.22929599442737356,497.8058573645481,-531893.8055604555
12.03342618384401,0.033426183844011144,-0.2726736439856325,542.4217212418465,-529438.0344842664
13.036211699164344,0.0362116991643454,-0.3197483375233178,586.8713483848463,-526775.5241000749
14.038997214484679,0.03899721448467967,-0.3705014832114103,631.1411002724534,-523907.9520408024
15.041782729805014,0.04178272980501393,-0.42491305730967444,675.2173899015219,-520837.12071173644
16.044568245125348,0.04456824512534819,-0.48296161675196164,719.0866857584437,-517564.95517046575
17.04735376044568,0.047353760445682444,-0.5446243125879303,762.7355157915302,-514093.50087084604
18.050139275766014,0.050139275766016705,-0.6098769042654375,806.1504713838534,-510424.9212753104
19.05292479108635,0.052924791086350974,-0.6786937747369414,849.3182113261366,-506561.4953400669
20.055710306406684,0.055710306406685235,-0.7510479463723378,892.225465789207,-502505.6148779499
21.058495821727018,0.0584958217270195,-0.8269110976598322,934.8590402954458,-498259.78180388705
22.061281337047355,0.061281337047353765,-0.9062535806756103,977.2058196885808,-493826.60526814545
23.064066852367688,0.06406685236768803,-0.9890444393022847,1019.2527721010918,-489208.79868268897
24.06685236768802,0.06685236768802229,-1.0752514281753731,1060.9869529184061,-484409.17664614663
25.069637883008355,0.06963788300835654,-1.164841032336313,1102.3955087389766,-479430.65177304065
26.072423398328688,0.0724233983286908,-1.2577784875698907,1143.4656813292486,-474276.23143305257
27.075208913649025,0.07520891364902507,-1.3540278014033273,1184.1848115724313,-468949.0144062277
28.077994428969358,0.07799442896935933,-1.453551774743632,1224.5403434098982,-463452.18746012234
29.08077994428969,0.08077994428969358,-1.5563120241293684,1264.5198277739644,-457789.02185498056
30.08356545961003,0.08356545961002786,-1.6622690045723936,1304.1109265106893,-451962.86978310696
31.08635097493036,0.08635097493036212,-1.7713820329647398,1343.301416291271,-445977.1607486535
32.089136490250695,0.08913649025069638,-1.8836093120253374,1382.0791925105227,-439835.39789408445
33.09192200557103,0.09192200557103064,-1.9989079547609523,1420.4322731708246,-433541.1542796055
34.09470752089136,0.09470752089136489,-2.1172340094153292,1458.3488027498768,-427098.06912186043
35.097493036211695,0.09749303621169915,-2.2385424848803175,1495.8170560504982,-420509.84399818955
36.10027855153203,0.10027855153203341,-2.362787376542454,1532.8254420306378,-413780.23902272957
37.10306406685237,0.10306406685236769,-2.4899216925382897,1569.3625076117007,-406913.069000603
38.1058495821727,0.10584958217270195,-2.61989748039164,1605.416941463213,-399912.1995663945
39.108635097493035,0.10863509749303621,-2.7526658540057825,1640.9775777618036,-392781.543313056
40.11142061281337,0.11142061281337047,-2.8881770209835635,1676.0333999224001,-385525.05591730744
41.1142061281337,0.11420612813370473,-3.0263803102483697,1710.5735442994978,-378146.73226751335
42.116991643454035,0.116991643454039,-3.1672241999389263,1744.5873038563022,-370650.6025999182
43.11977715877437,0.11977715877437324,-3.310656345550954,1778.0641317995041,-363040.72864901164
44.12256267409471,0.12256267409470753,-3.4566236082987785,1810.9936451773979,-355321.1998176756
45.12534818941504,0.12534818941504178,-3.6050720836701817,1843.3656284390258,-347496.12937263097
46.128133704735376,0.12813370473537605,-3.755947130147914,1875.1700369520047,-339569.65067056083
47.13091922005571,0.1309192200557103,-3.9091933980715146,1906.3970004766538,-331545.9134201323
48.13370473537604,0.13370473537604458,-4.064754858613348,1937.0368265940317,-323429.0799849839
49.136490250696376,0.13649025069637882,-4.22257483284304,1967.0800040854758,-315223.3217325693
50.13927576601671,0.13927576601671307,-4.382596020854818,1996.5172062612376,-306932.8154335772
51.14206128133704,0.14206128133704735,-4.54476053093261,2025.339294235781,-298561.73971646046
52.144846796657376,0.1448467966573816,-4.709009908728161,2053.5373201473553,-290114.27158141905
53.147632311977716,0.14763231197771587,-4.875285166427808,2081.1025303194165,-281594.5829779833
54.15041782729805,0.15041782729805014,-5.043526811884025,2108.0263683615212,-273006.83745014755
55.15320334261838,0.1532033426183844,-5.213674877688321,2134.300478207335,-264355.1868527937
56.155988857938716,0.15598885793871867,-5.385668950162544,2159.9167070873928,-255643.76814294033
57.15877437325905,0.15877437325905291,-5.559448198246198,2184.86710843433,-246876.7002491394
58.16155988857938,0.16155988857938716,-5.734951402257911,2209.143944718295,-238058.0810221276
59.164345403899716,0.16434540389972144,-5.912116982509773,2232.7396902103314,-229191.98426962344
60.16713091922006,0.1671309192200557,-6.090883027753806,2255.6470336715342,-220282.4568779484
61.16991643454039,0.16991643454038996,-6.271187323440513,2277.8588809658722,-211333.51602292582
62.17270194986072,0.17270194986072424,-6.452967379769982,2299.3683575946,-202349.14647230055
