theta,revolution,displacement,velocity,acceleration_method1,acceleration_method2
0.0,0.0,-0.0,0.0,-501477.2733437889,-489990.6591156875
1.0013908205841446,0.0027816411682892906,-0.0017460490683046338,41.84576437325462,-501411.2083692976,-489926.10739596625
2.0027816411682893,0.005563282336578581,-0.006983736216503444,83.67874662566177,-501213.02187119244,-489732.4604691835
3.004172461752434,0.008344923504867872,-0.015711681333119967,125.4861684793853,-500882.73913454753,-489409.74304124486
4.0055632823365785,0.011126564673157162,-0.027927584428017283,167.25525934166356,-500420.40233104024,-488957.9963178622
5.006954102920723,0.013908205841446452,-0.04362822592609745,208.9732601449762,-499826.070563743,-488377.2780483192
6.008344923504868,0.016689847009735744,-0.06280946707891773,250.6274271843649,-499099.819929765,-487667.66258667863
7.009735744089013,0.019471488178025034,-0.08546625049465634,292.2050359509586,-498241.74360066914,-486829.2409703574
8.011126564673157,0.022253129346314324,-0.11159260078700228,333.69338496075187,-497251.9519205739,-485862.121015981
9.012517385257302,0.025034770514603618,-0.1411816253436288,375.0797995776833,-496130.5725218296,-484766.4274324099
10.013908205841446,0.027816411682892905,-0.17422551521507879,416.35163583005846,-494877.7504581397,-483542.3019508127
11.015299026425591,0.030598052851182198,-0.21071554612496485,457.4962842193636,-493493.6483549714,-482189.9034716299
12.016689847009737,0.03337969401947149,-0.2506420796025625,498.5011735205048,-491978.44657708704,-480709.4082282696
13.01808066759388,0.036161335187760775,-0.2939945642389305,539.3537745725184,-490332.34341300465,-479101.00996734126
14.019471488178025,0.03894297635605007,-0.34076153706787243,580.0416040587805,-488555.55527617055,-477364.920145222
15.020862308762169,0.041724617524339355,-0.39093062507310367,620.5522282757512,-486648.31692261744,-475501.36814072775
16.022253129346314,0.04450625869262865,-0.44448854682318995,660.8732668892816,-484610.8816848498,-473510.60148364166
17.02364394993046,0.04728789986091794,-0.5014211142358341,700.9923966775075,-482443.5217216843,-471392.8860988321
18.025034770514605,0.050069541029207236,-0.5617132344732854,740.8973552593503,-480146.5282837524,-469148.5065656741
19.026425591098747,0.052851182197496516,-0.625348911970705,780.5759448076444,-477720.2119943475,-466777.7663924628
20.027816411682892,0.05563282336578581,-0.6923112505994529,820.0160357458993,-475164.9031452842,-464280.9883054958
21.029207232267037,0.0584144645340751,-0.7625824559673392,859.2055704277108,-472480.9520074109,-461658.5145524743
22.030598052851182,0.061196105702364396,-0.8361438378580246,898.1325667978175,-469668.7291554007,-458910.7072198538
23.031988873435328,0.06397774687065369,-0.912975812811815,936.7851220338127,-466728.6258064249,-456037.94856375956
24.033379694019473,0.06675938803894298,-0.9930579068502107,975.1514161674934,-463661.05417228525,-453040.64135405415
25.034770514603615,0.06954102920723226,-1.076368758346675,1013.2197156848506,-460466.4478245745,-449919.2092311336
26.03616133518776,0.07232267037552155,-1.1628861210461419,1050.978377103674,-457145.2620723993,-446674.0970749974
27.037552155771905,0.07510431154381085,-1.2525868672359144,1088.415850527761,-453697.9743521887,-443305.77138612943
28.03894297635605,0.07788595271210014,-1.3454469910706597,1125.520683176703,-450125.08462908666,-439814.72067769524
29.040333796940196,0.08066759388038944,-1.4414416120542919,1162.2815228902202,-446427.11580940714,-436201.45587855106
30.041724617524338,0.08344923504867871,-1.5405449786816163,1198.6871216060142,-442604.6141636112,-432466.51074653014
31.043115438108483,0.08623087621696801,-1.6427304722426903,1234.7263388101014,-438658.1497592408,-428610.44229146326
32.04450625869263,0.0890125173852573,-1.7479706107928967,1270.3881449585854,-434588.31690323085,-424633.8312073556
33.04589707927677,0.09179415855354658,-1.856237053291832,1305.6616248698242,-430395.7345929906,-420537.28231313854
34.04728789986092,0.09457579972183588,-1.9675006039141227,1340.5359810859466,-426081.046975637,-416321.4250013836
35.04867872044506,0.09735744089012517,-2.0817312165354007,1375.0005372026574,-421644.9238147297,-411986.9136943455
36.05006954102921,0.10013908205841447,-2.198897999396653,1409.0447411662888,-417088.0609638502,-407534.42830669443
37.05146036161335,0.10292072322670376,-2.3189692199502714,1442.6581685370288,-412411.18084633653,-402964.674714263
38.05285118219749,0.10570236439499303,-2.4419123098911313,1475.8305257172735,-407615.032940473,-398278.38522812055
39.05424200278164,0.10848400556328233,-2.567693870376066,1508.5516531440387,-402700.39426941087,-393476.31907327345
40.055632823365784,0.11126564673157162,-2.6962796774351725,1540.8115284443616,-397668.0698950775,-388559.26287126064
41.05702364394993,0.11404728789986092,-2.827634687578372,1572.6002695526406,-392518.89341531467,-383528.03112590424
42.058414464534074,0.1168289290681502,-2.961723043600681,1603.9081377888283,-387253.7274634637,-378383.46671145223
43.059805285118216,0.11961057023643949,-3.0985080805896907,1634.7255408964318,-381873.46420960105,-373126.44136233174
44.061196105702365,0.12239221140472879,-3.2379523321387342,1665.0430360392363,-376379.025862606,-367757.8561637181
45.06258692628651,0.12517385257301808,-3.3800175367692207,1694.8513327556984,-370771.36517223023,-362278.642042103
46.063977746870655,0.12795549374130738,-3.5246646445656777,1724.1412958699411,-365051.46593031206,-356689.7602550287
47.0653685674548,0.13073713490959665,-3.671853824026923,1752.9039483582899,-359220.34347027325,-350992.2028791434
48.066759388038946,0.13351877607788595,-3.8215444691369345,1781.130474170294,-353279.04516400973,-345186.9932957108
49.06815020862309,0.13630041724617525,-3.9736952066587783,1808.8122210031718,-347228.65091527737,-339275.18667269434
50.06954102920723,0.13908205841446453,-4.128263903655101,1835.940703028632,-341070.2736486575,-333257.870442522
51.07093184979138,0.14186369958275383,-4.285207675238578,1862.5076035710397,-334805.0597931717,-327136.16477462504
