degree,velocity,acceleration
0.0,789.3212890625,-519030.96875
1.000555864369094,745.9533081054688,-521198.3125
2.001111728738188,702.4111328125,-523201.375
3.0016675931072823,658.708984375,-525040.5
4.002223457476376,614.8605346679688,-526715.8125
5.00277932184547,570.8788452148438,-528227.75
6.0033351862145645,526.778076171875,-529576.4375
7.003891050583658,482.571533203125,-530762.4375
8.004446914952752,438.27288818359375,-531786.125
9.005002779321845,393.895751953125,-532647.9375
10.00555864369094,349.4534606933594,-533348.5625
11.006114508060033,304.9594421386719,-533888.4375
12.006670372429129,260.4270324707031,-534268.1875
13.007226236798221,215.8697052001953,-534488.4375
14.007782101167315,171.3004913330078,-534550.125
15.00833796553641,126.73280334472656,-534453.8125
16.008893829905503,82.17974853515625,-534200.375
17.009449694274597,37.65432357788086,-533790.4375
18.01000555864369,-6.830465316772461,-533225.1875
19.010561423012785,-51.261661529541016,-532505.375
20.01111728738188,-95.62643432617188,-531631.8125
21.011673151750976,-139.91195678710938,-530605.625
22.012229016120067,-184.1057586669922,-529427.8125
23.01278488048916,-228.19480895996094,-528099.3125
24.013340744858258,-272.1669921875,-526621.3125
25.01389660922735,-316.00970458984375,-524994.875
26.014452473596442,-359.7107238769531,-523221.125
27.015008337965536,-403.2576599121094,-521301.15625
28.01556420233463,-446.6383972167969,-519236.25
29.016120066703728,-489.841064453125,-517027.59375
30.01667593107282,-532.853759765625,-514676.3125
31.017231795441916,-575.6643676757812,-512183.90625
32.017787659811006,-618.26123046875,-509551.40625
33.018343524180096,-660.6328735351562,-506780.0625
34.018899388549194,-702.7676391601562,-503871.59375
35.019455252918284,-744.6544189453125,-500827.0
36.02001111728738,-786.281494140625,-497647.78125
37.02056698165648,-827.6382446289062,-494335.4375
38.02112284602557,-868.7128295898438,-490891.03125
39.02167871039467,-909.4951171875,-487316.34375
40.02223457476376,-949.9737548828125,-483612.5
41.02279043913285,-990.1383056640625,-479781.3125
42.02334630350195,-1029.9783935546875,-475823.90625
43.02390216787104,-1069.4830322265625,-471742.0625
44.02445803224013,-1108.6422119140625,-467537.03125
45.02501389660923,-1147.44580078125,-463210.46875
46.02556976097832,-1185.8836669921875,-458763.84375
47.02612562534741,-1223.94580078125,-454198.65625
48.026681489716516,-1261.6219482421875,-449516.59375
49.02723735408561,-1298.903564453125,-444719.09375
50.0277932184547,-1335.7801513671875,-439807.78125
51.028349082823794,-1372.24267578125,-434784.125
52.028904947192885,-1408.28125,-429649.90625
53.029460811561975,-1443.887451171875,-424406.34375
54.03001667593107,-1479.0518798828125,-419055.59375
55.03057254030017,-1513.765869140625,-413599.0
56.03112840466926,-1548.0206298828125,-408037.96875
57.03168426903836,-1581.80712890625,-402374.375
58.032240133407456,-1615.117431640625,-396609.90625
59.032795997776546,-1647.9429931640625,-390745.9375
60.03335186214564,-1680.2752685546875,-384784.34375
61.03390772651473,-1712.106689453125,-378726.78125
62.03446359088383,-1743.428955078125,-372574.75
63.035019455252915,-1774.234375,-366330.03125
64.03557531962201,-1804.5155029296875,-359994.21875
65.03613118399112,-1834.26416015625,-353568.96875
66.03668704836019,-1863.4737548828125,-347056.09375
67.0372429127293,-1892.136962890625,-340457.125
68.03779877709839,-1920.2459716796875,-333773.875
69.03835464146748,-1947.7945556640625,-327007.875
70.03891050583657,-1974.775146484375,-320161.0
71.03946637020567,-2001.1822509765625,-313234.875
72.04002223457476,-2027.0076904296875,-306231.0625
73.04057809894385,-2052.24658203125,-299151.5
74.04113396331296,-2076.89208984375,-291997.75
75.04168982768205,-2100.938232421875,-284771.59375
76.04224569205114,-2124.37841796875,-277474.75
77.04280155642024,-2147.207763671875,-270108.9375
78.04335742078933,-2169.419921875,-262675.75
79.04391328515842,-2191.00927734375,-255177.046875
80.04446914952752,-2211.9716796875,-247614.640625
81.04502501389662,-2232.2998046875,-239990.09375
82.0455808782657,-2251.989990234375,-232305.21875
83.0461367426348,-2271.037353515625,-224561.75
84.0466926070039,-2289.4365234375,-216761.5
85.04724847137298,-2307.182373046875,-208906.125
86.04780433574209,-2324.27197265625,-200997.515625
87.04836020011118,-2340.699951171875,-193037.28125
88.04891606448027,-2356.46142578125,-185027.328125
89.04947192884936,-2371.55322265625,-176969.34375
90.05002779321846,-2385.97119140625,-168865.203125
91.05058365758755,-2399.7119140625,-160716.5625
92.05113952195664,-2412.770751953125,-152525.21875
93.05169538632575,-2425.1455078125,-144293.125
94.05225125069482,-2436.832275390625,-136021.96875
95.05280711506393,-2447.827392578125,-127713.5625
96.05336297943303,-2458.128173828125,-119369.75
97.05391884380211,-2467.732421875,-110992.3125
98.05447470817121,-2476.636962890625,-102583.15625
99.0550305725403,-2484.83837890625,-94144.03125
100.0555864369094,-2492.33544921875,-85676.84375
101.05614230127848,-2499.125,-77183.4296875
102.05669816564759,-2505.2060546875,-68665.578125
103.05725403001668,-2510.574951171875,-60125.2734375
104.05780989438577,-2515.231689453125,-51564.32421875
105.05836575875487,-2519.17333984375,-42984.64453125
106.05892162312395,-2522.3994140625,-34388.05078125
107.05947748749306,-2524.90771484375,-25776.572265625
108.06003335186215,-2526.697021484375,-17152.025390625
109.06058921623124,-2527.767578125,-8516.357421875
110.06114508060034,-2528.1171875,128.5229034423828
111.06170094496943,-2527.7451171875,8780.7119140625
112.06225680933852,-2526.652099609375,17438.125
113.06281267370761,-2524.837646484375,26098.916015625
114.06336853807672,-2522.300537109375,34761.08203125
115.0639244024458,-2519.040771484375,43422.64453125
116.06448026681491,-2515.05908203125,52081.6484375
117.065036131184,-2510.356201171875,60736.11328125
