theta,displacement_method1,velocity_method1,acceleration_method1,displacement_method2,velocity_method2,acceleration_method2
0.0,0.0,0.0,524209.079059289,-0.0,-0.0,0.0
0.03500381786729574,0.007320551530542357,87.59365508298261,523887.9637366035,-0.0073203821666538715,-0.0,0.0
0.07000763573459148,0.029273237405828635,175.07999548584692,522925.01118046814,-0.029272980988025665,-0.0,0.0
0.10501145360188723,0.06583116246478364,262.351838004214,521321.4011446612,-0.06583144515752792,-0.0,0.0
0.14001527146918297,0.11694953805200044,349.3022622241074,519079.0982794517,-0.11694946885108948,-0.0,0.0
0.1750190893364787,0.18256573689020478,435.82474151466005,516200.8497246237,-0.18256579339504242,-0.0,0.0
0.21002290720377445,0.26259936980757476,521.813273538382,512690.1817438395,-0.26259922981262207,-0.0,0.0
0.2450267250710702,0.3569523842259086,607.1625101190925,508551.39540446515,-0.35695216059684753,-0.0,0.0
0.28003054293836593,0.4655091842889629,691.7678863084137,503789.5613081518,-0.46550920605659485,-0.0,0.0
0.31503436080566166,0.5881367724838219,775.525748492697,498410.5133786276,-0.5881364941596985,-0.0,0.0
0.3500381786729574,0.7246849125817503,858.3334813834355,492420.8417143117,-0.7246850728988647,-0.0,0.0
0.3850419965402532,0.8749863136989333,940.0896337355811,485827.884514507,-0.8749862313270569,-0.0,0.0
0.4200458144075489,1.0388568352515914,1020.6940426397418,478639.71908906294,-1.0388567447662354,-0.0,0.0
0.45504963227484463,1.2160957125543796,1100.0479562359862,470865.1519625219,-1.2160959243774414,-0.0,0.0
0.4900534501421404,1.406485802785658,1178.0541546989093,462513.70808487554,-1.406485676765442,-0.0,0.0
0.5250572680094361,1.6097938510183254,1254.6170693457411,453595.6191621466,-1.6097939014434814,-0.0,0.0
0.5600610858767319,1.8257707759902657,1329.6428997215694,444121.8111210941,-1.8257712125778198,-0.0,0.0
0.5950649037440277,2.0541519752643023,1403.0397285182305,434103.89072340034,-2.054151773452759,-0.0,0.0
0.6300687216113233,2.2946576494037942,1474.7176341860809,423554.1313457377,-2.2946574687957764,-0.0,0.0
0.6650725394786191,2.5469931447667378,1544.588801100679,412485.4579431369,-2.5469930171966553,-0.0,0.0
0.7000763573459148,2.8108493144983555,1612.567627149407,400911.43121408025,-2.81084942817688,-0.0,0.0
0.7350801752132106,3.0859028972799454,1678.5708286062315,388846.2309867177,-3.085902690887451,-0.0,0.0
0.7700839930805063,3.3718169133699547,1742.5175421661058,376304.6388465617,-3.371816396713257,-0.0,0.0
0.805087810947802,3.6682410774520644,1804.3294240140156,363302.0200269439,-3.668241024017334,-0.0,0.0
0.8400916288150978,3.9748122277845095,1863.930745807288,349854.30458441883,-3.9748122692108154,-0.0,0.0
0.8750954466823936,4.2911547711248295,1921.24848745358,335977.9678821814,-4.291154384613037,-0.0,0.0
0.9100992645496893,4.616881142884994,1976.2124265708699,321690.0104054037,-4.616881370544434,-0.0,0.0
0.945103082416985,4.9515922819531175,2028.7552245198606,307007.9369332242,-4.951592445373535,-0.0,0.0
0.9801069002842808,5.294878119600053,2078.812508903383,291949.7350929049,-5.294878005981445,-0.0,0.0
1.0151107181515766,5.646318081871887,2126.322952431737,276533.8533224304,-5.646318435668945,-0.0,0.0
1.0501145360188722,6.005481604852811,2171.228348057338,260779.17826854912,-6.005481719970703,-0.0,0.0
1.085118353886168,6.37192866216715,2213.4736802866255,244705.0116479454,-6.37192964553833,-0.0,0.0
1.1201221717534637,6.745210304074207,2253.0071925818643,228331.04659989313,-6.745210647583008,-0.0,0.0
1.1551259896207595,7.124869207495531,2289.780450770261,211677.3435593604,-7.124868869781494,-0.0,0.0
1.1901298074880553,7.5104402363007035,2323.74840238271,194764.30568012453,-7.510439395904541,-0.0,0.0
1.2251336253553509,7.901451011165213,2354.8694318494754,177612.65383800844,-7.901451587677002,-0.0,0.0
1.2601374432226466,8.297422488302303,2383.1054114851795,160243.40124486142,-8.297422409057617,-0.0,0.0
1.2951412610899424,8.697869546359689,2408.4217482006347,142677.82770438818,-8.697869300842285,-0.0,0.0
1.3301450789572382,9.102301580762203,2430.7874258843003,124937.45354136344,-9.102301597595215,-0.0,0.0
1.365148896824534,9.51022310477213,2450.175043401425,107044.01323617478,-9.510223388671875,-0.0,0.0
1.4001527146918296,9.921134356530905,2466.5608481643335,89019.42879699462,-9.921133995056152,-0.0,0.0
1.4351565325591253,10.334531911338447,2479.9247652327253,70885.78290220308,-10.334531784057617,-0.0,0.0
1.4701603504264211,10.749909298419974,2490.250421908326,52665.291845968284,-10.749909400939941,-0.0,0.0
1.505164168293717,11.166757621424706,2497.5251677937754,34380.278320127305,-11.166757583618164,-0.0,0.0
1.5401679861610127,11.584566181896246,2501.7400902911572,16053.144065715207,-11.584565162658691,-0.0,0.0
1.5751718040283085,12.002823104950789,2502.890025521204,-2293.6575723523965,-12.002822875976562,-0.0,0.0
1.610175621895604,12.421015966396622,2500.973564649779,-20637.649153818813,-12.421015739440918,-0.0,0.0
1.6451794397628998,12.838632420526618,2495.9930556139016,-38956.35668114652,-12.838631629943848,-0.0,0.0
