theta,displacement_method1,velocity_method1,acceleration_method1,displacement_method2,velocity_method2,acceleration_method2
0.0,0.0,0.0,511280.15558473085,0.0,-0.0,-511280.15558473085
0.03500381786729574,0.007139999811178299,85.43327345537514,510966.9601466856,-0.007139999811178299,-85.43327345537514,-510966.9601466856
0.07000763573459148,0.028551251729899363,170.76187900525372,510027.7575414863,-0.028551251729899363,-170.76187900525372,-510027.7575414863
0.10501145360188723,0.06420752392865658,255.88127697720344,508463.698425845,-0.06420752392865658,-255.88127697720344,-508463.698425845
0.14001527146918297,0.11406513240497773,340.68718400781665,506276.69899453083,-0.11406513240497773,-340.68718400781665,-506276.69899453083
0.1750190893364787,0.17806299450053586,425.0757008046558,503469.43863275915,-0.17806299450053586,-425.0757008046558,-503469.43863275915
0.21002290720377445,0.2561227037360858,508.94343943765784,500045.3566335639,-0.2561227037360858,-508.94343943765784,-500045.3566335639
0.2450267250710702,0.34814862587055906,592.1876500040457,496008.6479841741,-0.34814862587055906,-592.1876500040457,-496008.6479841741
0.28003054293836593,0.45402801606658727,674.7063465115673,491364.25822655903,-0.45402801606658727,-674.7063465115673,-491364.25822655903
0.31503436080566166,0.5736311570189727,756.3984318258342,486117.8773984356,-0.5736311570189727,-756.3984318258342,-486117.8773984356
0.3500381786729574,0.7068115178768171,837.1638215286843,480275.9330621634,-0.7068115178768171,-837.1638215286843,-480275.9330621634
0.3850419965402532,0.8534059337646518,916.9035665358216,473845.58243006695,-0.8534059337646518,-916.9035665358216,-473845.58243006695
0.4200458144075489,1.0132348056826022,995.5199743235117,466834.7035958334,-1.0132348056826022,-995.5199743235117,-466834.7035958334
0.45504963227484463,1.1861023205407033,1072.9167286158126,459251.8858827272,-1.1861023205407033,-1072.9167286158126,-459251.8858827272
0.4900534501421404,1.3717966910577566,1148.9990073857039,451106.4193204489,-1.3717966910577566,-1148.9990073857039,-451106.4193204489
0.5250572680094361,1.5700904152308723,1223.6735990255506,442408.28326352715,-1.5700904152308723,-1223.6735990255506,-442408.28326352715
0.5600610858767319,1.7807405550577649,1296.8490165445758,433168.1341651912,-1.7807405550577649,-1296.8490165445758,-433168.1341651912
0.5950649037440277,2.0034890341703324,1368.4356096534268,423397.2925217007,-2.0034890341703324,-1368.4356096534268,-423397.2925217007
0.6300687216113233,2.2380629540149037,1438.3456745985272,413107.7290031285,-2.2380629540149037,-1438.3456745985272,-413107.7290031285
0.6650725394786191,2.4841749281917647,1506.4935616116436,402312.0497875874,-2.4841749281917647,-1506.4935616116436,-402312.0497875874
0.7000763573459148,2.7415234345443515,1572.7957798430261,391023.4811168707,-2.7415234345443515,-1572.7957798430261,-391023.4811168707
