theta,revolution,displacement,velocity,acceleration
0.0,0.0,-0.0,0.0,-525553.4584653318
1.0013908205841446,0.0027816411682892906,-0.0018298646832694628,43.85480131895444,-525461.6316055615
2.0027816411682893,0.005563282336578581,-0.00731881929671713,87.69620683919943,-525186.194469254
3.004172461752434,0.008344923504867872,-0.016464945833758154,131.51082478323107,-524727.2773495875
4.0055632823365785,0.011126564673157162,-0.02926504862485958,175.28527141503042,-524085.0972824736
5.006954102920723,0.013908205841446452,-0.04571465584882506,219.00617505849016,-523259.95786765334
6.008344923504868,0.016689847009735744,-0.06580802164684933,262.66018011306,-522252.2490185831
7.009735744089013,0.019471488178025034,-0.0895381288375972,306.23395106567955,-521062.44664146035
8.011126564673157,0.022253129346314324,-0.11689669223108734,349.7141764980658,-519691.112243836
9.012517385257302,0.025034770514603618,-0.1478741625386314,393.0875730884162,-518138.8924733614
10.013908205841446,0.027816411682892905,-0.18245973087564013,436.3408896065858,-516406.5185873138
11.015299026425591,0.030598052851182198,-0.22064133385357784,479.46091090179056,-514494.8058536357
12.016689847009737,0.03337969401947149,-0.2624056592569272,522.4344618818814,-512404.6528843237
13.01808066759388,0.036161335187760775,-0.30773815230048857,565.2484114832321,-510137.0409020899
14.019471488178025,0.03894297635605007,-0.35662302246193883,607.8896766302693,-507693.03294131026
15.020862308762169,0.041724617524339355,-0.40904325088404814,650.3452261836715,-505073.77298436617
16.022253129346314,0.04450625869262865,-0.46498059834059224,692.6020848762533,-502280.48503456305
17.02364394993046,0.04728789986091794,-0.5244156137594533,734.6473372355393,-499314.4721269048
18.025034770514605,0.050069541029207236,-0.5873276432960552,776.4681314920286,-496177.115278074
19.026425591098747,0.052851182197496516,-0.6536948399498074,818.0516834721369,-492869.8723770532
20.027816411682892,0.05563282336578581,-0.7234941737158429,859.3852804747938,-489394.2770178933
21.029207232267037,0.0584144645340751,-0.7967014422639053,900.4562851306632,-485751.93727621064
22.030598052851182,0.061196105702364396,-0.8732912821358878,941.2521392429447,-481944.5344310639
23.031988873435328,0.06397774687065369,-0.9532371804531091,981.7603676087018,-477973.821633926
24.033379694019473,0.06675938803894298,-1.0365114871240604,1021.9685818196515,-473841.62252653146
25.034770514603615,0.06954102920723226,-1.1230854275430107,1061.8644840413458,-469549.8298094365
26.03616133518776,0.07232267037552155,-1.212929115769483,1101.4358707696488,-465100.4037631909
27.037552155771905,0.07510431154381085,-1.3060115681783249,1140.6706365634225,-460495.3707240631
28.03894297635605,0.07788595271210014,-1.4023007175697486,1179.5567777523097,-455736.82151631935
29.040333796940196,0.08066759388038944,-1.5017634277284277,1218.0823961184942,-450826.9098430949
30.041724617524338,0.08344923504867871,-1.6043655084204391,1256.2357025513165,-445767.85063794116
31.043115438108483,0.08623087621696801,-1.7100717308165894,1294.005020673599,-440561.9183791644
32.04450625869263,0.0890125173852573,-1.8188458433303651,1331.3787904385451,-435211.4453691135
33.04589707927677,0.09179415855354658,-1.930650587858552,1368.345571696043,-429718.8199805911
34.04728789986092,0.09457579972183588,-2.0454477164122773,1404.8940477272208,-424086.48487260425
35.04867872044506,0.09735744089012517,-2.1631980081260984,1441.0130287460768,-418316.93517767277
36.05006954102921,0.10013908205841447,-2.283861286632467,1476.691455367006,-412412.71666295006
37.05146036161335,0.10292072322670376,-2.4073964377887997,1511.9184020370394,-406376.4238674099
38.05285118219749,0.10570236439499303,-2.533761427744176,1546.683080431601,-400210.6982173693
39.05424200278164,0.10848400556328233,-2.66291332133252,1580.9748428125954,-393918.22612262494
40.055632823365784,0.11126564673157162,-2.7948083007790476,1614.7831853476157,-387501.7370554742
41.05702364394993,0.11404728789986092,-2.9294016847065727,1648.0977513890818,-380964.00161489926
42.058414464534074,0.1168289290681502,-3.066647947428197,1680.9083347120902,-374307.8295781817
43.059805285118216,0.11961057023643949,-3.2065007385128355,1713.2048827097904,-367536.0679422046
44.061196105702365,0.12239221140472879,-3.348912902609923,1744.9774995450625,-360651.5989566895
45.06258692628651,0.12517385257301808,-3.4938364995195976,1776.2164492573038,-353657.3381515982
46.063977746870655,0.12795549374130738,-3.6412228244946623,1806.9121588231276,-346556.23236090556
47.0653685674548,0.13073713490959665,-3.7910224287605034,1837.0552211697639,-339351.25774493127
48.066759388038946,0.13351877607788595,-3.9431851402392817,1866.6363981399857,-332045.41781338543
49.06815020862309,0.13630041724617525,-4.097660084464531,1895.6466234073594,-324641.7414512611
50.06954102920723,0.13908205841446453,-4.254395705672494,1924.0770053406543,-317143.2809496641
51.07093184979138,0.14186369958275383,-4.413339788056456,1951.9188298162333,-309553.1100436426
52.07232267037552,0.1446453407510431,-4.574439477170404,1979.1635629772663,-301874.3219590341
53.07371349095967,0.1474269819193324,-4.737641301468431,2005.8028539386241,-294110.02747031004
54.07510431154381,0.1502086230876217,-4.902891193966348,2031.8285374363074,-286263.35297135153
55.07649513212795,0.15299026425591097,-5.070134514012085,2057.2326364202986,-278337.438561042
56.0778859527121,0.15577190542420027,-5.23931606915151,2082.0073645897246,-270335.43614551885
57.07927677329624,0.15855354659248957,-5.410380137076525,2106.145128869242,-262260.50755886594
58.08066759388039,0.16133518776077888,-5.583270487642278,2129.6385318255784,-254115.8227039859
59.082058414464534,0.16411682892906815,-5.757930404940587,2152.4803740231696,-245904.55771532637
60.083449235048676,0.16689847009735742,-5.934302709416768,2174.6636563178695,-237629.89314508447
61.084840055632824,0.16968011126564672,-6.112329780017258,2196.181582087716,-229295.01217444942
62.086230876216966,0.17246175243393602,-6.291953576355543,2217.0275593997753,-220903.0988513897
