%time	revolution	shaft_angle	e_1	e_2	e_3	e_4	e_1_velocity	e_2_velocity	e_3_velocity	e_4_velocity	variable_gap_length	lout	pos_A	pos_B	zRK	Stroke	lA	lB	z_A	z_B	Piston_Velocity	Piston_Leakage	Poiseuille_Leakage	Couette_Leakage	MTK	MTKtan	Axial_Friction	FTKy_p	FTKy_c	Circumferential_Friction	FTKx_p	FTKx_c	FTG	pDC	FTby	FTby_p	FTby_c	FTbx	FTbx_p	FTbx_c	High_Pressure	Low_Pressure	F_1	F_2	F_3	F_4	F_Fluid_1	F_Fluid_2	F_Fluid_3	F_Fluid_4	F_Contact_1	F_Contact_2	F_Contact_3	F_Contact_4	dF_1	dF_2	dF_3	dF_4	Total_Leakage	Total_Torque_Loss	MFT	Total_Mechanical_Power_Loss	Total_Volumetric_Power_Loss	Mechanical_Power_Loss	Volumetric_Power_Loss	FSKx	FSKy	FAKz	FKx	FKy	FK	FaK	FDK	FwK	FAKy	Fwky	Fwkz	FAK_inclined	MKx	MKy	MK
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.270885e-004	-6.782972e-003	-6.700895e-004	9.846173e-003	3.410000e-002	2.386800e-002	2.135800e-002	0.000000e+000	5.846800e-002	-0.000000e+000	3.531000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-0.000000e+000	2.195791e-027	2.195791e-027	0.000000e+000	-0.000000e+000	-9.562889e-002	-5.675809e-020	-5.675809e-020	0.000000e+000	-9.807236e+000	2.563020e-028	-9.807236e+000	3.627157e+001	1.000000e+000	-5.675809e-020	-5.675809e-020	0.000000e+000	9.807236e+000	2.709483e-028	9.807236e+000	3.799960e+002	1.003940e+000	2.520521e+001	-1.076588e+001	-6.047678e+001	1.005854e+003	-2.517583e+001	9.742290e+000	6.069474e+001	-1.009525e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	-2.938221e-002	1.023586e+000	-2.179642e-001	3.670974e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.397767e+001	0.000000e+000	1.000000e+000	5.726783e+001	2.296887e+002	-3.527157e+001	9.950885e+002	9.957134e+002	2.305661e+002	0.000000e+000	9.212311e+002	2.009516e+001	9.177255e+002	8.029058e+001	2.305661e+002	-3.429963e+001	-2.062258e+000	3.436158e+001
3.787879e-005	2.777778e-003	1.000000e+000	1.996547e-008	-2.569308e-007	-2.538218e-008	3.729611e-007	4.468066e-004	-6.285437e-003	-5.521879e-004	9.062408e-003	3.410000e-002	2.386640e-002	2.135640e-002	0.000000e+000	5.846600e-002	-1.604044e-006	3.533000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-8.469109e-002	-7.283723e-009	1.965461e-009	-9.249184e-009	3.516977e-005	-9.819614e-002	1.920735e-001	1.875032e-003	1.901985e-001	-1.007052e+001	6.891379e-005	-1.007059e+001	3.630536e+001	1.367280e+000	-1.883234e-001	1.875032e-003	-1.901985e-001	1.007066e+001	6.891379e-005	1.007059e+001	3.799730e+002	1.363880e+000	2.623755e+001	-1.330665e+001	-6.295677e+001	1.012029e+003	-2.630855e+001	1.306122e+001	6.293714e+001	-1.012493e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	7.099849e-002	2.454295e-001	1.962963e-002	4.639357e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.557229e+001	-2.675166e-004	9.998477e-001	5.995652e+001	2.404725e+002	-3.671922e+001	9.987227e+002	9.993975e+002	2.305302e+002	1.066877e+001	9.212280e+002	2.103862e+001	9.177225e+002	8.029031e+001	2.413910e+002	-3.451020e+001	-2.146826e+000	3.457691e+001
7.575758e-005	5.555556e-003	2.000000e+000	3.688997e-008	-4.950155e-007	-4.629839e-008	7.162341e-007	4.036973e-004	-6.255366e-003	-4.908916e-004	9.032301e-003	3.410000e-002	2.386158e-002	2.135158e-002	0.000000e+000	5.846100e-002	-6.415687e-006	3.538000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-1.693547e-001	-2.251340e-008	3.866836e-009	-2.638024e-008	1.473874e-004	-9.896297e-002	4.025264e-001	1.921639e-002	3.833100e-001	-1.014916e+001	1.930254e-004	-1.014936e+001	3.640269e+001	2.423480e+000	-3.640936e-001	1.921639e-002	-3.833100e-001	1.014955e+001	1.930254e-004	1.014936e+001	3.799820e+002	1.515850e+000	2.756942e+001	-2.052113e+001	-6.616049e+001	1.029538e+003	-2.756838e+001	2.031283e+001	6.611108e+001	-1.029803e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	-1.031600e-003	2.082992e-001	4.940474e-002	2.650064e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.627157e+001	-3.204738e-003	9.993908e-001	6.760247e+001	2.711387e+002	-3.859107e+001	1.009017e+003	1.009754e+003	2.304226e+002	4.134931e+001	9.212189e+002	2.372156e+001	9.177133e+002	8.028951e+001	2.721744e+002	-3.510724e+001	-2.256073e+000	3.517965e+001
1.136364e-004	8.333333e-003	3.000000e+000	5.218153e-008	-7.319612e-007	-6.489277e-008	1.058367e-006	3.665113e-004	-6.263122e-003	-4.382034e-004	9.055185e-003	3.410000e-002	2.385357e-002	2.134357e-002	0.000000e+000	5.845300e-002	-1.443346e-005	3.546000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-2.539633e-001	-4.338633e-008	6.815024e-009	-5.020135e-008	3.473816e-004	-9.940915e-002	6.326447e-001	5.523151e-002	5.774132e-001	-1.019492e+001	4.083916e-004	-1.019533e+001	3.656871e+001	4.218520e+000	-5.221817e-001	5.523151e-002	-5.774132e-001	1.019574e+001	4.083916e-004	1.019533e+001	3.799810e+002	1.606270e+000	2.947179e+001	-3.273768e+001	-7.073931e+001	1.059176e+003	-2.946588e+001	3.249212e+001	7.065917e+001	-1.059472e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	-5.911617e-003	2.455558e-001	8.014210e-002	2.967101e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.701273e+001	-1.396398e-002	9.986295e-001	8.056617e+001	3.231333e+002	-4.126752e+001	1.026438e+003	1.027267e+003	2.302432e+002	9.349171e+001	9.212036e+002	2.827050e+001	9.176981e+002	8.028818e+001	3.243676e+002	-3.611789e+001	-2.412210e+000	3.619835e+001
1.515152e-004	1.111111e-002	4.000000e+000	6.606453e-008	-9.692007e-007	-8.149138e-008	1.401366e-006	3.411645e-004	-6.328798e-003	-4.030352e-004	9.159432e-003	3.410000e-002	2.384235e-002	2.133235e-002	0.000000e+000	5.844200e-002	-2.565493e-005	3.557000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-3.384896e-001	-6.859964e-008	1.107537e-008	-7.967500e-008	6.523574e-004	-9.975401e-002	8.913623e-001	1.190745e-001	7.722878e-001	-1.023029e+001	7.450000e-004	-1.023103e+001	3.680404e+001	6.749030e+000	-6.532133e-001	1.190745e-001	-7.722878e-001	1.023178e+001	7.450000e-004	1.023103e+001	3.799690e+002	1.657310e+000	3.220969e+001	-4.990232e+001	-7.733131e+001	1.100827e+003	-3.209804e+001	4.966332e+001	7.750823e+001	-1.101102e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	-1.116455e-001	2.389940e-001	-1.769229e-001	2.749909e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.784549e+001	-3.943814e-002	9.975641e-001	9.882554e+001	3.963676e+002	-4.512162e+001	1.050924e+003	1.051893e+003	2.299922e+002	1.669981e+002	9.211821e+002	3.467767e+001	9.176768e+002	8.028631e+001	3.978817e+002	-3.753819e+001	-2.636998e+000	3.763070e+001
1.893939e-004	1.388889e-002	5.000000e+000	7.898743e-008	-1.208928e-006	-9.675787e-008	1.748314e-006	3.298810e-004	-6.445581e-003	-3.860305e-004	9.326866e-003	3.410000e-002	2.382792e-002	2.131792e-002	0.000000e+000	5.842700e-002	-4.007667e-005	3.572000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-4.229060e-001	-9.684387e-008	1.705528e-008	-1.138991e-007	1.081263e-003	-1.000762e-001	1.182465e+000	2.144099e-001	9.680556e-001	-1.026333e+001	1.269801e-003	-1.026460e+001	3.710119e+001	9.921350e+000	-7.536457e-001	2.144099e-001	-9.680556e-001	1.026587e+001	1.269801e-003	1.026460e+001	3.799460e+002	1.681230e+000	3.598273e+001	-7.128982e+001	-8.642097e+001	1.152812e+003	-3.599209e+001	7.097332e+001	8.645609e+001	-1.153132e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	9.360209e-003	3.164983e-001	-3.511989e-002	3.193620e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.883763e+001	-8.639781e-002	9.961947e-001	1.217058e+002	4.881353e+002	-5.043824e+001	1.081523e+003	1.082698e+003	2.296696e+002	2.591478e+002	9.211546e+002	4.270630e+001	9.176494e+002	8.028392e+001	4.899999e+002	-3.931091e+001	-2.946955e+000	3.942121e+001
2.272727e-004	1.666667e-002	6.000000e+000	9.148293e-008	-1.453079e-006	-1.113802e-007	2.101605e-006	3.365446e-004	-6.631569e-003	-3.942415e-004	9.575675e-003	3.410000e-002	2.381031e-002	2.130031e-002	0.000000e+000	5.841000e-002	-5.769430e-005	3.589000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-5.071851e-001	-1.267310e-007	2.535963e-008	-1.520906e-007	1.660376e-003	-1.004154e-001	1.513997e+000	3.489970e-001	1.165000e+000	-1.029812e+001	2.070623e-003	-1.030019e+001	3.747923e+001	1.392090e+001	-8.160033e-001	3.489970e-001	-1.165000e+000	1.030226e+001	2.070623e-003	1.030019e+001	3.799090e+002	1.686950e+000	4.116906e+001	-9.819187e+001	-9.891752e+001	1.218171e+003	-4.128603e+001	9.791784e+001	9.880300e+001	-1.218493e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	1.169738e-001	2.740300e-001	1.145131e-001	3.224258e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.004081e+001	-1.637478e-001	9.945219e-001	1.505468e+002	6.038100e+002	-5.774846e+001	1.119979e+003	1.121467e+003	2.292756e+002	3.753269e+002	9.211210e+002	5.282653e+001	9.176159e+002	8.028099e+001	6.061165e+002	-4.153963e+001	-3.373087e+000	4.167635e+001
2.651515e-004	1.944444e-002	7.000000e+000	1.042308e-007	-1.704274e-006	-1.263136e-007	2.464320e-006	3.634135e-004	-6.869254e-003	-4.294088e-004	9.870158e-003	3.410000e-002	2.378950e-002	2.127950e-002	0.000000e+000	5.838900e-002	-7.850243e-005	3.610000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-5.912998e-001	-1.572644e-007	3.630609e-008	-1.935705e-007	2.409272e-003	-1.007963e-001	1.884277e+000	5.207539e-001	1.363523e+000	-1.033718e+001	3.287090e-003	-1.034047e+001	3.792305e+001	1.856530e+001	-8.427687e-001	5.207539e-001	-1.363523e+000	1.034376e+001	3.287090e-003	1.034047e+001	3.798600e+002	1.679630e+000	4.789113e+001	-1.292105e+002	-1.151268e+002	1.293663e+003	-4.807215e+001	1.285909e+002	1.150371e+002	-1.294156e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	1.810221e-001	6.195722e-001	8.971100e-002	4.921944e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.153179e+001	-2.762396e-001	9.925462e-001	1.840322e+002	7.381127e+002	-6.723568e+001	1.164453e+003	1.166392e+003	2.288103e+002	5.102376e+002	9.210813e+002	6.457649e+001	9.175763e+002	8.027753e+001	7.409322e+002	-4.411392e+001	-3.925824e+000	4.428826e+001
3.030303e-004	2.222222e-002	8.000000e+000	1.179965e-007	-1.964473e-006	-1.425791e-007	2.838189e-006	4.082447e-004	-7.143599e-003	-4.880698e-004	1.017984e-002	3.410000e-002	2.376551e-002	2.125551e-002	0.000000e+000	5.836500e-002	-1.024947e-004	3.634000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-6.752226e-001	-1.877414e-007	5.000957e-008	-2.377509e-007	3.343119e-003	-1.012337e-001	2.289548e+000	7.254755e-001	1.564072e+000	-1.038204e+001	5.092926e-003	-1.038713e+001	3.841917e+001	2.369320e+001	-8.385968e-001	7.254755e-001	-1.564072e+000	1.039222e+001	5.092926e-003	1.038713e+001	3.798010e+002	1.664950e+000	5.620648e+001	-1.631899e+002	-1.351944e+002	1.376497e+003	-5.596961e+001	1.604808e+002	1.353240e+002	-1.378056e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	-2.368694e-001	2.709143e+000	-1.296057e-001	1.558783e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.334885e+001	-4.260452e-001	9.902681e-001	2.209970e+002	8.863706e+002	-7.898789e+001	1.213308e+003	1.215876e+003	2.282738e+002	6.591931e+002	9.210355e+002	7.754738e+001	9.175307e+002	8.027354e+001	8.897564e+002	-4.693856e+001	-4.610128e+000	4.716441e+001
3.409091e-004	2.500000e-002	9.000000e+000	1.334603e-007	-2.235064e-006	-1.610666e-007	3.223789e-006	4.962042e-004	-7.587010e-003	-5.928033e-004	1.061137e-002	3.410000e-002	2.373834e-002	2.122834e-002	0.000000e+000	5.833800e-002	-1.296639e-004	3.661000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-7.589264e-001	-2.156914e-007	6.843271e-008	-2.841241e-007	4.526741e-003	-1.017632e-001	2.758077e+000	9.904927e-001	1.767584e+000	-1.043634e+001	7.640288e-003	-1.044398e+001	3.904917e+001	3.011060e+001	-7.770917e-001	9.904927e-001	-1.767584e+000	1.045162e+001	7.640288e-003	1.044398e+001	3.797190e+002	1.644110e+000	6.720796e+001	-2.055749e+002	-1.617616e+002	1.479809e+003	-6.721458e+001	2.052803e+002	1.617540e+002	-1.480213e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	6.618859e-003	2.946399e-001	7.607484e-003	4.039962e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.552298e+001	-6.278906e-001	9.876883e-001	2.672636e+002	1.071936e+003	-9.455365e+001	1.274234e+003	1.277738e+003	2.276663e+002	8.456060e+002	9.209837e+002	9.378222e+001	9.174791e+002	8.026902e+001	1.076030e+003	-5.046149e+001	-5.516071e+000	5.076209e+001
